"part","source_id","action","variant","source_direction","project_direction","source_path","relative_path","frame_width","frame_height","frame_count","source_format","naming_separator","content_hash"
"body","14101","stand","","0","right","external/assets/source/res/object/body/body14101_stand.0.png","body/body14101_stand.0.png","100","100","1","png",".","sha256:3f5b46875770bca634d2dbc1ef7b04e46e4abf143984bdac394bfc4e4ec5b3b0"
"body","14101","stand","","0","right","external/assets/source/res/object/body/body14101_stand_0.png","body/body14101_stand_0.png","100","100","1","png","_","sha256:3f5b46875770bca634d2dbc1ef7b04e46e4abf143984bdac394bfc4e4ec5b3b0"
"body","14101","stand","","1","up","external/assets/source/res/object/body/body14101_stand.1.png","body/body14101_stand.1.png","100","100","1","png",".","sha256:f295a0c5b24892e875eed1c9bf62d9191c1fe4e4db2079ee3efa4a52a13287d7"
"body","14101","stand","","1","up","external/assets/source/res/object/body/body14101_stand_1.png","body/body14101_stand_1.png","100","100","1","png","_","sha256:f295a0c5b24892e875eed1c9bf62d9191c1fe4e4db2079ee3efa4a52a13287d7"
"body","14101","stand","","2","left","external/assets/source/res/object/body/body14101_stand.2.png","body/body14101_stand.2.png","100","100","1","png",".","sha256:26d6ca8dce83c038cd7d1e5fcef84dd155d59ebb0a7bc046517779bd29303fbc"
"body","14101","stand","","2","left","external/assets/source/res/object/body/body14101_stand_2.png","body/body14101_stand_2.png","100","100","1","png","_","sha256:26d6ca8dce83c038cd7d1e5fcef84dd155d59ebb0a7bc046517779bd29303fbc"
"body","14101","stand","","3","down","external/assets/source/res/object/body/body14101_stand.3.png","body/body14101_stand.3.png","100","100","1","png",".","sha256:d64eac2225ed2a416828afee9e444dc8fa81d924584fe2d4ddbe4e98f18a75ad"
"body","14101","stand","","3","down","external/assets/source/res/object/body/body14101_stand_3.png","body/body14101_stand_3.png","100","100","1","png","_","sha256:d64eac2225ed2a416828afee9e444dc8fa81d924584fe2d4ddbe4e98f18a75ad"
"body","14101","walk","","0","right","external/assets/source/res/object/body/body14101_walk_0.gif","body/body14101_walk_0.gif","100","100","4","gif","_","sha256:815d1dfe6ff7d499b1a1714075081731b6799938c51b7987a8f5208f9c737f71"
"body","14101","walk","","1","up","external/assets/source/res/object/body/body14101_walk_1.gif","body/body14101_walk_1.gif","100","100","4","gif","_","sha256:8e58552b8570a7c8af6e1afee90b008945f82c44cdccb76d00d971b8ba25412a"
"body","14101","walk","","2","left","external/assets/source/res/object/body/body14101_walk_2.gif","body/body14101_walk_2.gif","100","100","4","gif","_","sha256:cb41d20b9d0c646149ae5ced68b731cc8ee189e84cc91da720786d7a44cb5be4"
"body","14101","walk","","3","down","external/assets/source/res/object/body/body14101_walk_3.gif","body/body14101_walk_3.gif","100","100","4","gif","_","sha256:e5c3e6b38a6b9fbdc88eb62424984944c785bdd577432b120b1a6289dcc5d323"
"body","14201","stand","","0","right","external/assets/source/res/object/body/body14201_stand.0.png","body/body14201_stand.0.png","100","100","1","png",".","sha256:7d376ea19bad0feaa9c6c9d50c96f99d57e4c5c472572b3cab7b4e4fb8d484fe"
"body","14201","stand","","0","right","external/assets/source/res/object/body/body14201_stand_0.png","body/body14201_stand_0.png","100","100","1","png","_","sha256:7d376ea19bad0feaa9c6c9d50c96f99d57e4c5c472572b3cab7b4e4fb8d484fe"
"body","14201","stand","","1","up","external/assets/source/res/object/body/body14201_stand.1.png","body/body14201_stand.1.png","100","100","1","png",".","sha256:c045aefc4773d23e217628effa62d263bd7cedb89b98c031b8e55ae2418eb6be"
"body","14201","stand","","1","up","external/assets/source/res/object/body/body14201_stand_1.png","body/body14201_stand_1.png","100","100","1","png","_","sha256:c045aefc4773d23e217628effa62d263bd7cedb89b98c031b8e55ae2418eb6be"
"body","14201","stand","","2","left","external/assets/source/res/object/body/body14201_stand.2.png","body/body14201_stand.2.png","100","100","1","png",".","sha256:b6f5552368e7f9d193bb0d1a6e95e0aeb8b5cb8cedd69faba3d972411fd8f302"
"body","14201","stand","","2","left","external/assets/source/res/object/body/body14201_stand_2.png","body/body14201_stand_2.png","100","100","1","png","_","sha256:b6f5552368e7f9d193bb0d1a6e95e0aeb8b5cb8cedd69faba3d972411fd8f302"
"body","14201","stand","","3","down","external/assets/source/res/object/body/body14201_stand.3.png","body/body14201_stand.3.png","100","100","1","png",".","sha256:9404361bb80395663d896a200a0e97c9d52e51974c95068d462613e462724aca"
"body","14201","stand","","3","down","external/assets/source/res/object/body/body14201_stand_3.png","body/body14201_stand_3.png","100","100","1","png","_","sha256:9404361bb80395663d896a200a0e97c9d52e51974c95068d462613e462724aca"
"body","14201","walk","","0","right","external/assets/source/res/object/body/body14201_walk_0.gif","body/body14201_walk_0.gif","100","100","4","gif","_","sha256:d5c05a235f75017f75066eb5c37db42e85500dbc85d05d83df2a5082ab5255c1"
"body","14201","walk","","1","up","external/assets/source/res/object/body/body14201_walk_1.gif","body/body14201_walk_1.gif","100","100","4","gif","_","sha256:38cbf8d71ebb7bf0d6ec69f12adc535b912a87afbcb8229baa06fefc9d0d4652"
"body","14201","walk","","2","left","external/assets/source/res/object/body/body14201_walk_2.gif","body/body14201_walk_2.gif","100","100","4","gif","_","sha256:379935f820f010755ae3349d1715569e051e60e79b25e1dba43b30c30804b3ad"
"body","14201","walk","","3","down","external/assets/source/res/object/body/body14201_walk_3.gif","body/body14201_walk_3.gif","100","100","4","gif","_","sha256:bbc3abab932e82c6b55aada0f0e25f77fb19f60ddc2b082dad5fd15c3fe40517"
"body","14301","stand","","0","right","external/assets/source/res/object/body/body14301_stand.0.png","body/body14301_stand.0.png","100","100","1","png",".","sha256:9114c79c5c3be4221e141319c4065f834d719601188d9b142c85bb939787125d"
"body","14301","stand","","0","right","external/assets/source/res/object/body/body14301_stand_0.png","body/body14301_stand_0.png","100","100","1","png","_","sha256:9114c79c5c3be4221e141319c4065f834d719601188d9b142c85bb939787125d"
"body","14301","stand","","1","up","external/assets/source/res/object/body/body14301_stand.1.png","body/body14301_stand.1.png","100","100","1","png",".","sha256:bfdb43ece4fd2e7bb47d50ea01a5a563e7788db9c28b023c9738dd081b89bd2d"
"body","14301","stand","","1","up","external/assets/source/res/object/body/body14301_stand_1.png","body/body14301_stand_1.png","100","100","1","png","_","sha256:bfdb43ece4fd2e7bb47d50ea01a5a563e7788db9c28b023c9738dd081b89bd2d"
"body","14301","stand","","2","left","external/assets/source/res/object/body/body14301_stand.2.png","body/body14301_stand.2.png","100","100","1","png",".","sha256:5cfeea514af443164e9fab54fa877883d088928fd95300c1e9f2d9afa59da490"
"body","14301","stand","","2","left","external/assets/source/res/object/body/body14301_stand_2.png","body/body14301_stand_2.png","100","100","1","png","_","sha256:5cfeea514af443164e9fab54fa877883d088928fd95300c1e9f2d9afa59da490"
"body","14301","stand","","3","down","external/assets/source/res/object/body/body14301_stand.3.png","body/body14301_stand.3.png","100","100","1","png",".","sha256:32dd1a271f75e564d141c48e8ecd6329e880f7272a6c24d37da91cbbf67dde67"
"body","14301","stand","","3","down","external/assets/source/res/object/body/body14301_stand_3.png","body/body14301_stand_3.png","100","100","1","png","_","sha256:32dd1a271f75e564d141c48e8ecd6329e880f7272a6c24d37da91cbbf67dde67"
"body","14301","walk","","0","right","external/assets/source/res/object/body/body14301_walk_0.gif","body/body14301_walk_0.gif","100","100","4","gif","_","sha256:7dc9900c9fd3a7beb9e2e77e8544104cb004b44c8777d4a51ea69a32bdc622aa"
"body","14301","walk","","1","up","external/assets/source/res/object/body/body14301_walk_1.gif","body/body14301_walk_1.gif","100","100","4","gif","_","sha256:7dd27bf5a7068be5ae63eefdb7ce5ed934eecb357c0ec7d57335891d5dd84e0a"
"body","14301","walk","","2","left","external/assets/source/res/object/body/body14301_walk_2.gif","body/body14301_walk_2.gif","100","100","4","gif","_","sha256:ec95a7c84a226774c7ae18dc66cf00a79202cc8f3cb7bfff0b7e1dc08f416575"
"body","14301","walk","","3","down","external/assets/source/res/object/body/body14301_walk_3.gif","body/body14301_walk_3.gif","100","100","4","gif","_","sha256:33cccfe76fc037ca32919e2853ec6a124ba770f609aba3cc44cc0864f3b69584"
"body","14401","stand","","0","right","external/assets/source/res/object/body/body14401_stand.0.png","body/body14401_stand.0.png","100","100","1","png",".","sha256:bce496e84abf7b8ff995bcddc5b810a056d017a5f972b16c2b42194fe83d2e3b"
"body","14401","stand","","0","right","external/assets/source/res/object/body/body14401_stand_0.png","body/body14401_stand_0.png","100","100","1","png","_","sha256:bce496e84abf7b8ff995bcddc5b810a056d017a5f972b16c2b42194fe83d2e3b"
"body","14401","stand","","1","up","external/assets/source/res/object/body/body14401_stand.1.png","body/body14401_stand.1.png","100","100","1","png",".","sha256:538dbb57ddacf67398d98b5ae6b19d1585601ade28fcc63ef723a6758949b65b"
"body","14401","stand","","1","up","external/assets/source/res/object/body/body14401_stand_1.png","body/body14401_stand_1.png","100","100","1","png","_","sha256:538dbb57ddacf67398d98b5ae6b19d1585601ade28fcc63ef723a6758949b65b"
"body","14401","stand","","2","left","external/assets/source/res/object/body/body14401_stand.2.png","body/body14401_stand.2.png","100","100","1","png",".","sha256:bb23272664fdd65a47806a3bfea724cebb05a3a8806aaba3b1c4db8a3d63b51f"
"body","14401","stand","","2","left","external/assets/source/res/object/body/body14401_stand_2.png","body/body14401_stand_2.png","100","100","1","png","_","sha256:bb23272664fdd65a47806a3bfea724cebb05a3a8806aaba3b1c4db8a3d63b51f"
"body","14401","stand","","3","down","external/assets/source/res/object/body/body14401_stand.3.png","body/body14401_stand.3.png","100","100","1","png",".","sha256:261078f084ae2fa08e41ed7dc857da1c2e42c8a967050f297ffe0dc337748726"
"body","14401","stand","","3","down","external/assets/source/res/object/body/body14401_stand_3.png","body/body14401_stand_3.png","100","100","1","png","_","sha256:261078f084ae2fa08e41ed7dc857da1c2e42c8a967050f297ffe0dc337748726"
"body","14401","walk","","0","right","external/assets/source/res/object/body/body14401_walk_0.gif","body/body14401_walk_0.gif","100","100","6","gif","_","sha256:932eac0e4a5453d0ee07f71d6318dfbdfd366cea14495847160c1d92a8f14504"
"body","14401","walk","","1","up","external/assets/source/res/object/body/body14401_walk_1.gif","body/body14401_walk_1.gif","100","100","6","gif","_","sha256:0271b63764ca953bf60cc55e926dca57ceb18ca6c0d2885ac6631db00c2c2111"
"body","14401","walk","","2","left","external/assets/source/res/object/body/body14401_walk_2.gif","body/body14401_walk_2.gif","100","100","6","gif","_","sha256:8494afd8918f0f0968458db9333248ead8961d8a7469dce0dc035eb88c428ee3"
"body","14401","walk","","3","down","external/assets/source/res/object/body/body14401_walk_3.gif","body/body14401_walk_3.gif","100","100","6","gif","_","sha256:71fd5cdd2d45b30432418b1dff9e7aa6ff8ec06203be8fbcf2c5ef7775b559c8"
"body","14501","stand","","0","right","external/assets/source/res/object/body/body14501_stand.0.png","body/body14501_stand.0.png","100","100","1","png",".","sha256:ae13b23e2842ac5dcd4aa17c67ffe512b0ede0d49f71b35a351d68f21cea2f95"
"body","14501","stand","","0","right","external/assets/source/res/object/body/body14501_stand_0.png","body/body14501_stand_0.png","100","100","1","png","_","sha256:ae13b23e2842ac5dcd4aa17c67ffe512b0ede0d49f71b35a351d68f21cea2f95"
"body","14501","stand","","1","up","external/assets/source/res/object/body/body14501_stand.1.png","body/body14501_stand.1.png","100","100","1","png",".","sha256:3eb1bac862a2503943a6bcefac8c670b11d101c86d28f335c950e251308a1c35"
"body","14501","stand","","1","up","external/assets/source/res/object/body/body14501_stand_1.png","body/body14501_stand_1.png","100","100","1","png","_","sha256:3eb1bac862a2503943a6bcefac8c670b11d101c86d28f335c950e251308a1c35"
"body","14501","stand","","2","left","external/assets/source/res/object/body/body14501_stand.2.png","body/body14501_stand.2.png","100","100","1","png",".","sha256:b669894fea147f5ce2629304235f9bd2913d7cf7ea78efe30ff73adbd8cb10bc"
"body","14501","stand","","2","left","external/assets/source/res/object/body/body14501_stand_2.png","body/body14501_stand_2.png","100","100","1","png","_","sha256:b669894fea147f5ce2629304235f9bd2913d7cf7ea78efe30ff73adbd8cb10bc"
"body","14501","stand","","3","down","external/assets/source/res/object/body/body14501_stand.3.png","body/body14501_stand.3.png","100","100","1","png",".","sha256:f94e6a1ef62eef2f4a11efc658947ccc999fc42ba1afe57407d84f951ba5b979"
"body","14501","stand","","3","down","external/assets/source/res/object/body/body14501_stand_3.png","body/body14501_stand_3.png","100","100","1","png","_","sha256:f94e6a1ef62eef2f4a11efc658947ccc999fc42ba1afe57407d84f951ba5b979"
"body","14501","walk","","0","right","external/assets/source/res/object/body/body14501_walk_0.gif","body/body14501_walk_0.gif","100","100","4","gif","_","sha256:495d1c6cf3364bad6a64ddd784636450f1dfc2cf01d0bde6560514a20a6734c7"
"body","14501","walk","","1","up","external/assets/source/res/object/body/body14501_walk_1.gif","body/body14501_walk_1.gif","100","100","4","gif","_","sha256:6fbb35b716d7cbea629d2ef267125e840564f19255af1b73c011afa920302852"
"body","14501","walk","","2","left","external/assets/source/res/object/body/body14501_walk_2.gif","body/body14501_walk_2.gif","100","100","4","gif","_","sha256:4bdbc61c6249636eb19177c70f5d2cd8e7b65effdab7b25aa762decbe3116951"
"body","14501","walk","","3","down","external/assets/source/res/object/body/body14501_walk_3.gif","body/body14501_walk_3.gif","100","100","4","gif","_","sha256:5348d9a1ab15f645ddc0224f1e19ace5004eadf73030e51b7d5e1457259a56b4"
"body","14601","stand","","0","right","external/assets/source/res/object/body/body14601_stand.0.png","body/body14601_stand.0.png","100","100","1","png",".","sha256:7a9ef8242583420435bf717d1dc42cb6b4154897b9d09a7f55cc5be4a98eee17"
"body","14601","stand","","0","right","external/assets/source/res/object/body/body14601_stand_0.png","body/body14601_stand_0.png","100","100","1","png","_","sha256:7a9ef8242583420435bf717d1dc42cb6b4154897b9d09a7f55cc5be4a98eee17"
"body","14601","stand","","1","up","external/assets/source/res/object/body/body14601_stand.1.png","body/body14601_stand.1.png","100","100","1","png",".","sha256:e6a238055c9b9b4a321a53ab556be8ace487315530ef0335c59f6b2854778ecf"
"body","14601","stand","","1","up","external/assets/source/res/object/body/body14601_stand_1.png","body/body14601_stand_1.png","100","100","1","png","_","sha256:e6a238055c9b9b4a321a53ab556be8ace487315530ef0335c59f6b2854778ecf"
"body","14601","stand","","2","left","external/assets/source/res/object/body/body14601_stand.2.png","body/body14601_stand.2.png","100","100","1","png",".","sha256:f09ad40e4f19077914f5826fcbe65a7b1e39a2280a00968305a69160a16297b8"
"body","14601","stand","","2","left","external/assets/source/res/object/body/body14601_stand_2.png","body/body14601_stand_2.png","100","100","1","png","_","sha256:f09ad40e4f19077914f5826fcbe65a7b1e39a2280a00968305a69160a16297b8"
"body","14601","stand","","3","down","external/assets/source/res/object/body/body14601_stand.3.png","body/body14601_stand.3.png","100","100","1","png",".","sha256:c0980db732c241644e397bd26d581ab5c3e97d5f3120f181d9a86faefe28d8de"
"body","14601","stand","","3","down","external/assets/source/res/object/body/body14601_stand_3.png","body/body14601_stand_3.png","100","100","1","png","_","sha256:c0980db732c241644e397bd26d581ab5c3e97d5f3120f181d9a86faefe28d8de"
"body","14601","walk","","0","right","external/assets/source/res/object/body/body14601_walk_0.gif","body/body14601_walk_0.gif","100","100","4","gif","_","sha256:e069e83683e9bf3ce3e7f4bd1dbf1bc51ec73c89f5396290a17b87a7cbf88512"
"body","14601","walk","","1","up","external/assets/source/res/object/body/body14601_walk_1.gif","body/body14601_walk_1.gif","100","100","4","gif","_","sha256:7dcd302531b2eaf41fced29b65f5a0b5c82568de5a3dabdce52bfe02661a090c"
"body","14601","walk","","2","left","external/assets/source/res/object/body/body14601_walk_2.gif","body/body14601_walk_2.gif","100","100","4","gif","_","sha256:9a230f9a2f4dd8e6a5e87454ba7ed00fe049eacc84f761f16e6eeea0c8205103"
"body","14601","walk","","3","down","external/assets/source/res/object/body/body14601_walk_3.gif","body/body14601_walk_3.gif","100","100","4","gif","_","sha256:7c7c88f87700259d4384b5fbd1f30842ddcd3b46397f7b88da6108a8301bbab5"
"body","15401","stand","","","","external/assets/source/res/object/body/body15401_stand.png","body/body15401_stand.png","100","100","1","png","","sha256:f1a878943326b433db4aab61696684510df214dd33262111ed6f0e5c21a6d9a8"
"body","15401","walk","","","","external/assets/source/res/object/body/body15401_walk.gif","body/body15401_walk.gif","100","100","2","gif","","sha256:3ab1623785cc4768eee1ce217aaac2e810dff0f937e313dfa7244e31355ce900"
"body","15501","stand","","0","right","external/assets/source/res/object/body/body15501_stand.0.png","body/body15501_stand.0.png","100","100","1","png",".","sha256:69f02dcf5b700c1544487266f9c5314db135f3ec4b57ff4d04a335c0774971fb"
"body","15501","stand","","0","right","external/assets/source/res/object/body/body15501_stand_0.png","body/body15501_stand_0.png","100","100","1","png","_","sha256:69f02dcf5b700c1544487266f9c5314db135f3ec4b57ff4d04a335c0774971fb"
"body","15501","stand","","1","up","external/assets/source/res/object/body/body15501_stand.1.png","body/body15501_stand.1.png","100","100","1","png",".","sha256:56fef3a35bdd377e9c124cbe9c9fe76fa82155d9f7cf2b8a2576c1113a93a68c"
"body","15501","stand","","1","up","external/assets/source/res/object/body/body15501_stand_1.png","body/body15501_stand_1.png","100","100","1","png","_","sha256:56fef3a35bdd377e9c124cbe9c9fe76fa82155d9f7cf2b8a2576c1113a93a68c"
"body","15501","stand","","2","left","external/assets/source/res/object/body/body15501_stand.2.png","body/body15501_stand.2.png","100","100","1","png",".","sha256:0aad20179282c9525f948de781d492bf62ec4ff7246e391b0ffd5f4de63d3cae"
"body","15501","stand","","2","left","external/assets/source/res/object/body/body15501_stand_2.png","body/body15501_stand_2.png","100","100","1","png","_","sha256:0aad20179282c9525f948de781d492bf62ec4ff7246e391b0ffd5f4de63d3cae"
"body","15501","stand","","3","down","external/assets/source/res/object/body/body15501_stand.3.png","body/body15501_stand.3.png","100","100","1","png",".","sha256:9bc8951e0fffce16c57e8ef5876c0fd7c4acef6c8db0594b0f128796879e1b9c"
"body","15501","stand","","3","down","external/assets/source/res/object/body/body15501_stand_3.png","body/body15501_stand_3.png","100","100","1","png","_","sha256:9bc8951e0fffce16c57e8ef5876c0fd7c4acef6c8db0594b0f128796879e1b9c"
"body","15501","walk","","0","right","external/assets/source/res/object/body/body15501_walk_0.gif","body/body15501_walk_0.gif","100","100","6","gif","_","sha256:c448f40cd7cf264c6eb3eb52a74aaddb32ecba7a11bce67bd485fdfa602a932f"
"body","15501","walk","","1","up","external/assets/source/res/object/body/body15501_walk_1.gif","body/body15501_walk_1.gif","100","100","6","gif","_","sha256:fdb5ce88be7ca1260c5ae88b89b4e8216b0338b32eaf028efd17d09a6d2de094"
"body","15501","walk","","2","left","external/assets/source/res/object/body/body15501_walk_2.gif","body/body15501_walk_2.gif","100","100","6","gif","_","sha256:aecfe3bb044eb82c3dcc0f9e824c10a142a9d330d56a94155fc0080966294d6d"
"body","15501","walk","","3","down","external/assets/source/res/object/body/body15501_walk_3.gif","body/body15501_walk_3.gif","100","100","6","gif","_","sha256:39f4c9a4ef72092ca400160e938f6a43426702818420a1fdca78fe584bf03ac4"
"body","15701","stand","","0","right","external/assets/source/res/object/body/body15701_stand_0.gif","body/body15701_stand_0.gif","100","100","6","gif","_","sha256:4b8806219f3d8f940ca2ab6f1c2f455d9ede801dea2a9c584da29304e6dcafa1"
"body","15701","stand","","1","up","external/assets/source/res/object/body/body15701_stand_1.gif","body/body15701_stand_1.gif","100","100","6","gif","_","sha256:e072cac55521d13b5711f09b0c646b0fcd7ec5ca6b7e86737febf99b67deeea2"
"body","15701","stand","","2","left","external/assets/source/res/object/body/body15701_stand_2.gif","body/body15701_stand_2.gif","100","100","6","gif","_","sha256:70d7995a2592cd8819316da098cafde1db3ed24387168dddb8b40e72d28b9686"
"body","15701","stand","","3","down","external/assets/source/res/object/body/body15701_stand_3.gif","body/body15701_stand_3.gif","100","100","6","gif","_","sha256:87472c3e90d47bb16ae0252c8936a72feb050ac2a8fc6eac4c7958b317a33193"
"body","15701","walk","","0","right","external/assets/source/res/object/body/body15701_walk_0.gif","body/body15701_walk_0.gif","100","100","6","gif","_","sha256:4b8806219f3d8f940ca2ab6f1c2f455d9ede801dea2a9c584da29304e6dcafa1"
"body","15701","walk","","1","up","external/assets/source/res/object/body/body15701_walk_1.gif","body/body15701_walk_1.gif","100","100","6","gif","_","sha256:e072cac55521d13b5711f09b0c646b0fcd7ec5ca6b7e86737febf99b67deeea2"
"body","15701","walk","","2","left","external/assets/source/res/object/body/body15701_walk_2.gif","body/body15701_walk_2.gif","100","100","6","gif","_","sha256:70d7995a2592cd8819316da098cafde1db3ed24387168dddb8b40e72d28b9686"
"body","15701","walk","","3","down","external/assets/source/res/object/body/body15701_walk_3.gif","body/body15701_walk_3.gif","100","100","6","gif","_","sha256:87472c3e90d47bb16ae0252c8936a72feb050ac2a8fc6eac4c7958b317a33193"
"cap","100","stand","","0","right","external/assets/source/res/object/cap/cap100_stand_0.png","cap/cap100_stand_0.png","100","100","1","png","_","sha256:d2d1bd8a6bd339a9f175f992d402508f8b4744bea4d5829175d4267de7e7cba2"
"cap","100","stand","","1","up","external/assets/source/res/object/cap/cap100_stand_1.png","cap/cap100_stand_1.png","100","100","1","png","_","sha256:d2d1bd8a6bd339a9f175f992d402508f8b4744bea4d5829175d4267de7e7cba2"
"cap","100","stand","","2","left","external/assets/source/res/object/cap/cap100_stand_2.png","cap/cap100_stand_2.png","100","100","1","png","_","sha256:d2d1bd8a6bd339a9f175f992d402508f8b4744bea4d5829175d4267de7e7cba2"
"cap","100","stand","","3","down","external/assets/source/res/object/cap/cap100_stand_3.png","cap/cap100_stand_3.png","100","100","1","png","_","sha256:d2d1bd8a6bd339a9f175f992d402508f8b4744bea4d5829175d4267de7e7cba2"
"cap","100","walk","","0","right","external/assets/source/res/object/cap/cap100_walk_0.gif","cap/cap100_walk_0.gif","100","100","6","gif","_","sha256:2dae862d17356ccf8e68eb7555051b2a18b60ce5e7017c9f97e47816478dcf3a"
"cap","100","walk","","1","up","external/assets/source/res/object/cap/cap100_walk_1.gif","cap/cap100_walk_1.gif","100","100","6","gif","_","sha256:2dae862d17356ccf8e68eb7555051b2a18b60ce5e7017c9f97e47816478dcf3a"
"cap","100","walk","","2","left","external/assets/source/res/object/cap/cap100_walk_2.gif","cap/cap100_walk_2.gif","100","100","6","gif","_","sha256:2dae862d17356ccf8e68eb7555051b2a18b60ce5e7017c9f97e47816478dcf3a"
"cap","100","walk","","3","down","external/assets/source/res/object/cap/cap100_walk_3.gif","cap/cap100_walk_3.gif","100","100","6","gif","_","sha256:2dae862d17356ccf8e68eb7555051b2a18b60ce5e7017c9f97e47816478dcf3a"
"cap","101","stand","","0","right","external/assets/source/res/object/cap/cap101_stand_0.gif","cap/cap101_stand_0.gif","100","100","6","gif","_","sha256:d2a9d2b368243feec92dde6df94e05d6a374a6362dd8c7f0f6953c1338413ac2"
"cap","101","stand","","1","up","external/assets/source/res/object/cap/cap101_stand_1.gif","cap/cap101_stand_1.gif","100","100","6","gif","_","sha256:181d0cd835bcf20c06b44b05dc08f4764d7b5ef301c0aade597dca33553ef5f6"
"cap","101","stand","","2","left","external/assets/source/res/object/cap/cap101_stand_2.gif","cap/cap101_stand_2.gif","100","100","6","gif","_","sha256:9980805b91aa77a449aff636e31a995596307771c44b9a99371fd4693db89870"
"cap","101","stand","","3","down","external/assets/source/res/object/cap/cap101_stand_3.gif","cap/cap101_stand_3.gif","100","100","6","gif","_","sha256:4a70765cf19222acc115c22ce873fcb3069029c3bd26a33ae4fcc017df42a02b"
"cap","101","walk","","0","right","external/assets/source/res/object/cap/cap101_walk_0.gif","cap/cap101_walk_0.gif","100","100","6","gif","_","sha256:d2a9d2b368243feec92dde6df94e05d6a374a6362dd8c7f0f6953c1338413ac2"
"cap","101","walk","","1","up","external/assets/source/res/object/cap/cap101_walk_1.gif","cap/cap101_walk_1.gif","100","100","6","gif","_","sha256:181d0cd835bcf20c06b44b05dc08f4764d7b5ef301c0aade597dca33553ef5f6"
"cap","101","walk","","2","left","external/assets/source/res/object/cap/cap101_walk_2.gif","cap/cap101_walk_2.gif","100","100","6","gif","_","sha256:9980805b91aa77a449aff636e31a995596307771c44b9a99371fd4693db89870"
"cap","101","walk","","3","down","external/assets/source/res/object/cap/cap101_walk_3.gif","cap/cap101_walk_3.gif","100","100","6","gif","_","sha256:4a70765cf19222acc115c22ce873fcb3069029c3bd26a33ae4fcc017df42a02b"
"cap","102","stand","","0","right","external/assets/source/res/object/cap/cap102_stand_0.gif","cap/cap102_stand_0.gif","100","100","6","gif","_","sha256:6240c55d102c819826956575d6c33019c8fc1b15a896206aee9c3c9662f4bb7a"
