"character_id","assembly_id","character_type","character_kind","body_id","cloth_id","leg_id","foot_id","head_id","hair_id","face_id","mouth_id","npack_id","cap_id","fhadorn_id","thadorn_id","cladorn_id","default_palette_id","direct_parts","bake_enabled","tags","notes"
"13301","13301","0","monster_or_boss","","13301","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
"13401","13401","0","monster_or_boss","","13401","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
"13501","13501","0","monster_or_boss","","13501","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
"13601","13601","0","monster_or_boss","","13601","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
"14101","14101","4","item_character","14101","","","","","","","","","","","","","default","body","True","auto_assembly_v1;item_character;resource;runtime_team_marker;team_marker_only","type 4 item character bakes own body stand/walk only"
"14201","14201","4","item_character","14201","","","","","","","","","","","","","default","body","True","auto_assembly_v1;item_character;resource;runtime_team_marker;team_marker_only","type 4 item character bakes own body stand/walk only"
"14301","14301","4","item_character","14301","","","","","","","","","","","","","default","body","True","auto_assembly_v1;item_character;resource;runtime_team_marker;team_marker_only","type 4 item character bakes own body stand/walk only"
"14401","14401","4","item_character","14401","","","","","","","","","","","","","default","body","True","auto_assembly_v1;item_character;resource;runtime_team_marker;team_marker_only","type 4 item character bakes own body stand/walk only"
"14501","14501","4","item_character","14501","","","","","","","","","","","","","default","body","True","auto_assembly_v1;item_character;resource;runtime_team_marker;team_marker_only","type 4 item character bakes own body stand/walk only"
"14601","14601","4","item_character","14601","","","","","","","","","","","","","default","body","True","auto_assembly_v1;item_character;resource;runtime_team_marker;team_marker_only","type 4 item character bakes own body stand/walk only"
"15401","15401","4","item_character","15401","","","","","","","","","","","","","default","body","True","auto_assembly_v1;item_character;resource;runtime_team_marker;team_marker_only","type 4 item character bakes own body stand/walk only"
"15501","15501","4","item_character","15501","","","","","","","","","","","","","default","body","True","auto_assembly_v1;item_character;resource;runtime_team_marker;team_marker_only","type 4 item character bakes own body stand/walk only"
"15701","15701","4","item_character","15701","","","","","","","","","","","","","default","body","True","auto_assembly_v1;item_character;resource;runtime_team_marker;team_marker_only","type 4 item character bakes own body stand/walk only"
"16701","16701","0","monster_or_boss","","16701","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
"16801","16801","0","monster_or_boss","","16801","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
"16901","16901","0","monster_or_boss","","16901","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
"17001","17001","0","monster_or_boss","","17001","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
"17101","17101","0","monster_or_boss","","17101","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
"17201","17201","0","monster_or_boss","","17201","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
"17301","17301","0","monster_or_boss","","17301","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
"17401","17401","0","monster_or_boss","","17401","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
"17501","17501","0","monster_or_boss","","17501","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
"17601","17601","0","monster_or_boss","","17601","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
"17701","17701","0","monster_or_boss","","17701","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
"17801","17801","0","monster_or_boss","","17801","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
"17901","17901","0","monster_or_boss","","17901","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
"18001","18001","0","monster_or_boss","","18001","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
"18101","18101","0","monster_or_boss","","18101","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
"18201","18201","0","monster_or_boss","","18201","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
"18301","18301","0","monster_or_boss","","18301","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
"18401","18401","0","monster_or_boss","","18401","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
"18501","18501","0","monster_or_boss","","18501","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
"18502","18502","0","monster_or_boss","","18502","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
"18503","18503","0","monster_or_boss","","18503","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
"18504","18504","0","monster_or_boss","","18504","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
"18505","18505","0","monster_or_boss","","18505","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
"18506","18506","0","monster_or_boss","","18506","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
"18507","18507","0","monster_or_boss","","18507","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
"18508","18508","0","monster_or_boss","","18508","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
"18509","18509","0","monster_or_boss","","18509","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
"18601","18601","0","monster_or_boss","","18601","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
"18602","18602","0","monster_or_boss","","18602","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
"18603","18603","0","monster_or_boss","","18603","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
"18604","18604","0","monster_or_boss","","18604","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
"18605","18605","0","monster_or_boss","","18605","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
"18606","18606","0","monster_or_boss","","18606","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
"18701","18701","0","monster_or_boss","","18701","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
"18702","18702","0","monster_or_boss","","18702","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
"18703","18703","0","monster_or_boss","","18703","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
"18704","18704","0","monster_or_boss","","18704","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
"18705","18705","0","monster_or_boss","","18705","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
"18706","18706","0","monster_or_boss","","18706","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
"18707","18707","0","monster_or_boss","","18707","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
"18708","18708","0","monster_or_boss","","18708","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
"18709","18709","0","monster_or_boss","","18709","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
"18801","18801","0","monster_or_boss","","18801","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
"18802","18802","0","monster_or_boss","","18802","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
"18803","18803","0","monster_or_boss","","18803","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
"18804","18804","0","monster_or_boss","","18804","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
"18805","18805","0","monster_or_boss","","18805","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
"18806","18806","0","monster_or_boss","","18806","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
"18807","18807","0","monster_or_boss","","18807","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
"18808","18808","0","monster_or_boss","","18808","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
"18809","18809","0","monster_or_boss","","18809","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
"18810","18810","0","monster_or_boss","","18810","","","","","","","","","","","","default","cloth","True","auto_assembly_v1;cloth_only;missing_face;missing_hair;monster_or_boss;resource",""
